ID,innings,overs,ballnumber,batter,bowler,non-striker,extra_type,batsman_run,extras_run,total_run,non_boundary,isWicketDelivery,player_out,kind,fielders_involved,BattingTeam
1312200,1,0,1,YBK Jaiswal,Mohammed Shami,JC Buttler,NA,0,0,0,0,0,NA,NA,NA,Rajasthan Royals
1312200,1,0,2,YBK Jaiswal,Mohammed Shami,JC Buttler,legbyes,0,1,1,0,0,NA,NA,NA,Rajasthan Royals
1312200,1,0,3,JC Buttler,Mohammed Shami,YBK Jaiswal,NA,1,0,1,0,0,NA,NA,NA,Rajasthan Royals
1312200,1,0,4,YBK Jaiswal,Mohammed Shami,JC Buttler,NA,0,0,0,0,0,NA,NA,NA,Rajasthan Royals
1312200,1,0,5,YBK Jaiswal,Mohammed Shami,JC Buttler,NA,0,0,0,0,0,NA,NA,NA,Rajasthan Royals
1312200,1,0,6,YBK Jaiswal,Mohammed Shami,JC Buttler,NA,0,0,0,0,0,NA,NA,NA,Rajasthan Royals
1312200,1,1,1,JC Buttler,Yash Dayal,YBK Jaiswal,NA,0,0,0,0,0,NA,NA,NA,Rajasthan Royals
1312200,1,1,2,JC Buttler,Yash Dayal,YBK Jaiswal,NA,0,0,0,0,0,NA,NA,NA,Rajasthan Royals
1312200,1,1,3,JC Buttler,Yash Dayal,YBK Jaiswal,NA,4,0,4,0,0,NA,NA,NA,Rajasthan Royals
1312200,1,1,4,JC Buttler,Yash Dayal,YBK Jaiswal,NA,0,0,0,0,0,NA,NA,NA,Rajasthan Royals
1312200,1,1,5,JC Buttler,Yash Dayal,YBK Jaiswal,NA,1,0,1,0,0,NA,NA,NA,Rajasthan Royals
1312200,1,1,6,YBK Jaiswal,Yash Dayal,JC Buttler,NA,0,0,0,0,0,NA,NA,NA,Rajasthan Royals
1312200,1,2,1,JC Buttler,Mohammed Shami,YBK Jaiswal,NA,1,0,1,0,0,NA,NA,NA,Rajasthan Royals
1312200,1,2,2,YBK Jaiswal,Mohammed Shami,JC Buttler,NA,0,0,0,0,0,NA,NA,NA,Rajasthan Royals
1312200,1,2,3,YBK Jaiswal,Mohammed Shami,JC Buttler,NA,4,0,4,0,0,NA,NA,NA,Rajasthan Royals
1312200,1,2,4,YBK Jaiswal,Mohammed Shami,JC Buttler,NA,0,0,0,0,0,NA,NA,NA,Rajasthan Royals
